,symbol,stock_return_100,market_return_100,sentiment,market_cap,ebitda,pe_ratio,peg_ratio,book_value,dividend_per_share,dividend_yield,eps,revenue_per_share,profit_margin,operating_margin,return_on_assets,return_on_equity,revenue,gross_profit,diluted_eps,quarterly_earnings_growth,quarterly_revenue_growth,trailing_pe,forward_pe,price_to_sales_ratio,price_to_book_ratio,ev_to_revenue,ev_to_ebitda,beta,outperformed
0,A,0.011997885008998253,0.09360718955319823,0.22134779500000018,41011196000,2019000000,31.13,2.36,18.96,0.855,0.0065,4.44,23.27,0.191,0.248,0.101,0.246,6930000000,3722000000,4.44,0.279,0.049,31.13,26.95,6.5,8.63,6.92,24.87,1.045,False
1,AA,-0.006510938189354645,0.09360718955319823,0.09658568499999998,7330908000,2030000000,None,-0.29,28.68,0.4,0.0094,-0.67,68.79,-0.0099,0.114,0.0593,0.0059,12451000000,2305000000,-0.67,0.81,-0.203,-,12.02,0.583,1.485,0.63,5.12,2.452,False
2,AAC,0.03251625812906464,0.09360718955319823,0.295698,742291000,None,60.71,None,-0.488,0,0,0.17,0,0,0,-0.0046,2.833,0,0,0.17,-0.409,0,60.71,-,-,1.308,-,-301.41,0.0056,False
3,AAC-U,0.050050050050050046,0.09360718955319823,,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
4,AAC-WS,16.599999999999998,0.09360718955319823,,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,True
5,AACG,0.03036580711988217,0.09360718955319823,0.06081630555555554,58370000,-33561084,None,None,4.557,0,0,-0.22,6.59,-0.232,-0.274,-0.0721,-0.291,206821000,104796000,-0.22,0,0.082,-,-,0.231,2.302,0.488,-1.063,1.148,False
6,AACI,0.013052208835341264,0.09360718955319823,0.11542799999999999,208959000,None,None,None,-0.241,0,0,-0.25,0,0,0,-0.0186,0,0,0,-0.25,0,0,-,-,-,-,-,-,None,False
7,AACIU,0.005025125628140776,0.09360718955319823,,None,None,None,None,-0.241,0,0,-0.203,0,0,0,-0.0186,0,0,0,-0.203,0,0,-,-,-,-,-,-,None,False
8,AACIW,1.0870406189555124,0.09360718955319823,,None,None,None,None,0.005,None,0,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,True
9,AADI,-0.4541387024608501,0.09360718955319823,0.05333433333333331,178879000,-58852000,None,None,6.48,0,0,-2.83,0.676,0,-3.875,-0.215,-0.411,15216000,-18781000,-2.83,0,4.227,-,-,28.19,1.893,12.63,-2.232,None,False
10,AAIC,-0.08278145695364239,0.09360718955319823,,79710000,None,56.2,None,6.33,0,0.0915,0.05,0.989,0.167,0.337,0.005,0.0222,29181000,3755000,0.05,-0.689,2.127,56.2,10,2.877,0.466,-,-,1.488,False
11,AAIC-P-B,0.14345029712871551,0.09360718955319823,,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,True
12,AAIC-P-C,0.04240529425104355,0.09360718955319823,,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
13,AAIN,0.009355258268300946,0.09360718955319823,,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
14,AAL,0.012875536480686674,0.09360718955319823,0.14715095499999997,9455426000,4527000000,74.53,0.627,-8.91,0,0.0303,0.19,75.3,0.0026,0.0455,0.0212,0,48971002000,11443000000,0.19,1.735,0.399,74.53,8.33,0.186,-,0.934,-361.05,1.552,False
15,AAME,-0.16382252559726962,0.09360718955319823,0.09572142222222223,50954000,6691000,17.5,0,4.805,0.02,0.0083,0.14,9.44,0.0164,0.0299,0.0094,0.0264,192352000,20364000,0.14,-0.784,-0.06,17.5,-,0.256,0.535,0.339,-,0.326,False
16,AAN,-0.019265644344978294,0.09360718955319823,0.07245964615384615,306369000,253978000,None,1.35,22.71,0.45,0.0517,-0.17,72.84,-0.0024,0.0746,0.0636,-0.0075,2249434000,1184847000,-0.17,-0.346,0.325,-,10.16,0.177,0.538,0.528,1.812,1.108,False
17,AAOI,0.05741626794258379,0.09360718955319823,0.08379657142857141,64207000,-35796000,None,0.51,6.45,0,0,-2.47,8.0,-0.298,-0.265,-0.0855,-0.302,222818000,33627000,-2.47,0,0.132,-,84.03,0.28,0.305,0.859,-5.99,1.381,False
18,AAON,0.2653853456057138,0.09360718955319823,0.23749754901960782,5022438000,162989000,50.49,2.87,10.49,0.43,0.0049,1.86,16.75,0.113,0.144,0.109,0.196,888788000,237572000,1.86,5.45,0.868,50.49,-,5.4,8.18,6.93,28.92,0.78,True
19,AAP,-0.30076559262162145,0.09360718955319823,0.15926023999999994,7208287000,1037605000,14.71,0.909,45.49,6,0.0493,8.27,184.83,0.045,0.0676,0.0389,0.173,11154722000,4964672000,8.27,0.383,0.032,14.71,11.03,0.766,3.13,1.077,12.61,1.137,False
20,AAPL,0.23149684153412084,0.09360718955319823,0.13455011,2620581216000,125287997000,28.17,2.75,3.581,0.91,0.0055,5.88,24.08,0.246,0.294,0.196,1.479,387537011000,170782000000,5.88,-0.105,-0.055,28.17,23.09,5.51,44.63,5.92,17.53,1.297,True
21,AAT,-0.3161611371309962,0.09360718955319823,0.21825942253521133,1416279000,234765000,25.18,21.85,20.11,1.28,0.0721,0.72,6.97,0.104,0.274,0.0239,0.0467,418567000,272594000,0.72,0.182,0.039,25.18,-,5.03,1.357,7.84,13.83,1.153,False
22,AB,0.0006371004008182355,0.09360718955319823,0.23960968000000013,4056862000,None,12.94,11.37,18.22,2.95,0.0826,2.69,3.002,0.897,1,0.103,0.148,305504000,305504000,2.69,-0.537,-0.464,12.94,15.17,10.42,2.51,-,-,1.368,False
23,ABB,0.20482747185510752,0.09360718955319823,0.22504957000000003,63933829000,4477000000,25.98,0.276,1.713,0.908,0.0268,1.32,3.877,0.0841,0.126,0.0585,0.18,29446001000,9734000000,1.32,-0.546,0.034,25.98,18.98,1.934,5.03,2.207,10.46,1.024,True
24,ABBV,0.09289733192485183,0.09360718955319823,0.15813615499999997,284397011000,31089000000,24.32,1.279,9.75,5.71,0.0369,6.63,32.78,0.204,0.39,0.0991,0.724,58054001000,41527000000,6.63,-0.388,0.016,24.32,14.39,4.989,18.23,6.04,13.8,0.587,False
25,ABC,0.03667366073699309,0.09360718955319823,0.1343716666666667,33973516000,3407561000,20.3,1.577,-0.881,1.865,0.012,8.24,1166.22,0.0072,0.0112,0.0294,0.502,241805033000,8334565000,8.24,0.094,0.054,20.3,14.2,0.141,5.58,0.15,11.43,0.537,False
26,ABCB,-0.31661876273929046,0.09360718955319823,0.16766848387096778,2445720000,None,6.95,2.45,46.24,0.6,0.0167,4.99,14.34,0.349,0.464,0.0142,0.112,991974000,991974000,4.99,0.009,-0.005,6.95,9.57,3.269,1.117,-,-,1.136,False
27,ABCL,-0.38950042337002544,0.09360718955319823,0.1335492444444445,2123123000,244354000,15.06,None,4.299,0,0,0.49,1.703,0.327,0.446,0.0947,0.14,485424000,311109000,0.49,0.459,-0.845,15.06,27.47,4.933,2.318,3.491,5.61,-0.0916,False
28,ABCM,-0.1494329553035357,0.09360718955319823,0.0819599705882353,2893892000,86100000,None,None,3.174,0,0.0075,-0.04,1.582,-0.0235,0.149,0.0327,-0.0123,361700000,270500000,-0.04,0.951,0.068,-,31.55,10.23,4.003,11.69,77.81,0.654,False
29,ABEO,-0.31386861313868625,0.09360718955319823,0.02763748936170213,49661300,-42164000,None,0,1.51,0,0,-5.51,0.18,0,-32.01,-0.393,-1.149,1414000,-28001000,-5.51,0,-0.977,-,-,10.71,3.31,9.47,-0.515,1.189,False
30,ABEV,-0.05749463077984772,0.09360718955319823,0.16161286597938146,44848808000,22344253000,16.38,1.976,5.21,0.762,0.0503,0.17,5.06,0.181,0.221,0.0797,0.178,79708824000,39286758000,0.17,0.378,0.031,16.38,16.81,0.559,2.649,0.53,1.962,0.663,False
31,ABG,0.2752115324349733,0.09360718955319823,0.15095329813664599,4302144000,1341600000,4.445,0.314,134.61,0,0,44.6,692.1,0.0646,0.0825,0.0993,0.397,15433900000,3100600000,44.6,1.491,0.396,4.445,5.51,0.262,1.486,0.513,5.79,1.141,True
32,ABIO,0.002216066481994439,0.09360718955319823,0.13515104411764708,29115800,-9821000,None,0,2.892,0,0,-0.68,0,0,0,-0.126,-0.214,0,0,-0.68,0,0,-,-,-,0.769,-,0.739,1.463,False
33,ABM,0.01351483343049249,0.09360718955319823,0.11598175776397511,2874950000,430200000,15.1,4.45,26.27,0.805,0.0196,2.88,117.87,0.0245,0.0401,0.0418,0.114,7861700000,1109300000,2.88,-0.477,0.028,15.1,-,0.396,1.796,0.548,10.12,1.108,False
34,ABNB,0.23666353481574262,0.09360718955319823,0.1667325149999999,76169847000,1946900000,40.62,None,8.81,0,0,2.97,13.19,0.225,0.225,0.0796,0.366,8399000000,6900000000,2.97,4.542,0.241,40.62,30.67,7.14,10.74,6.5,28.41,1.155,True
35,ABOS,-0.3816425120772947,0.09360718955319823,0.09665368181818183,157536000,-45205000,None,None,4.601,0,0,-1.12,0.033,0,0,-0.133,-0.207,329000,-32361000,-1.12,0,0,-,-,538.78,1.199,89.67,-0.908,None,False
36,ABR,-0.1561801286048115,0.09360718955319823,0.2053022249999999,2050836000,None,6.83,1.2,12.92,1.57,0.139,1.67,3.956,0.498,0.633,0.022,0.126,654070000,597944000,1.67,-0.309,0.024,6.83,-,3.589,1.089,-,-,1.954,False
37,ABR-P-D,0.04060579248313029,0.09360718955319823,,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
38,ABR-P-E,0.017946755927996355,0.09360718955319823,,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
39,ABR-P-F,-0.05183186588119226,0.09360718955319823,,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
40,ABSI,-0.444794952681388,0.09360718955319823,0.13677350000000002,162615000,-92963000,None,None,2.969,0,0,-1.18,0.063,0,-18.44,-0.177,-0.328,5747000,-39804000,-1.18,0,0.072,-,-,42.74,0.826,14.69,-0.841,None,False
41,ABST,-0.07815308836734544,0.09360718955319823,0.18678132786885246,428792000,8536500,None,None,-0.166,0.24,0.0292,-0.58,4.188,-0.131,0.0167,0.0042,-9.67,215270000,160536000,-0.58,-0.2,0.166,-,285.71,2.537,163.97,3.352,41.93,0.556,False
42,ABT,0.03831487446001562,0.09360718955319823,0.1748076750000001,180789232000,12103000000,26.29,18.76,21.11,1.92,0.0201,3.91,24.9,0.159,0.202,0.0738,0.19,43653001000,24579000000,3.91,-0.472,-0.12,26.29,25.13,4.202,5.44,4.452,15.2,0.666,False
43,ABUS,0.22540983606557388,0.09360718955319823,0.03414055405405406,485274000,-61796000,None,0,0.869,0,0,-0.47,0.259,-1.78,-1.62,-0.198,-0.454,39019000,-45389000,-0.47,0,0.948,-,-,11.68,2.806,7.67,-4.533,2.256,True
44,ABVC,-0.10267170233599109,0.09360718955319823,0.035280256410256415,20933600,-18407944,None,None,0.183,0,0,-0.52,0.012,0,-53.73,-1.009,-2.818,343000,350710,-0.52,0,-0.573,-,-,66.6,4.08,75.39,-1.46,0.381,False
45,AC,-0.08003372810738936,0.09360718955319823,0.1915789056603773,783468000,-10921000,None,0,40.48,0.2,0.0054,-2.24,0.691,0,-0.74,-0.0066,-0.0447,15228000,-3655000,-2.24,0.453,-0.461,-,-,41.37,1.045,22.92,-7.76,1.066,False
46,ACA,0.07989627238233117,0.09360718955319823,0.27424498058252406,2874350000,314100000,11.7,6.72,45.13,0.2,0.0032,5.05,46.53,0.11,0.0713,0.0306,0.119,2242800000,422800000,5.05,15.77,-0.041,11.7,27.62,1.186,1.368,1.492,10.91,0.547,False
47,ACAB,0.03277060575968223,0.09360718955319823,,390000000,None,520,None,-0.284,0,0,0.02,0,0,0,0,0,0,0,0.02,0,0,520,-,-,-,-,-,None,False
48,ACABU,0.032835820895522394,0.09360718955319823,,None,None,None,None,-0.284,0,0,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
49,ACABW,1.2580645161290325,0.09360718955319823,,None,None,None,None,0.003,0,0,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,True
50,ACAC,0.0436507936507936,0.09360718955319823,0.207248,112992000,None,18.39,None,-0.908,0,0,0.57,0,0,0,0,0,0,0,0.57,0,0,18.39,-,-,-,-,-,None,False
51,ACACU,0.15250000000000002,0.09360718955319823,0.04831766666666667,None,None,None,None,-0.908,0,0,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,True
52,ACACW,-0.23880597014925375,0.09360718955319823,,None,None,None,None,-0.135,0,0,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
53,ACAD,0.2352941176470588,0.09360718955319823,0.07960014388489213,2998010000,-221570000,None,-0.42,2.471,0,0,-1.35,3.199,-0.418,-0.432,-0.217,-0.459,517235000,145494000,-1.35,0,0.044,-,-,4.771,6.0,4.265,-9.91,0.581,True
54,ACAH,0.02213279678068417,0.09360718955319823,0.422197,124135000,None,169.33,None,-0.539,0,0,0.06,0,0,0,-0.0276,0,0,0,0.06,-0.336,0,169.33,-,-,1.314,-,-49.41,None,False
55,ACAHU,0.028340080971659853,0.09360718955319823,,417881000,None,None,None,-0.539,0,0,-0.005,0,0,0,-0.0276,0,0,0,-0.005,-0.336,0,-,-,-,-,-,-,None,False
56,ACAHW,-0.1666666666666666,0.09360718955319823,,417881000,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
57,ACAX,0.039433771486349724,0.09360718955319823,,115701000,None,1028,None,-0.181,0,0,0.01,0,0,0,-0.0096,0,0,0,0.01,0,0,1028,-,-,-,-,-,None,False
58,ACAXR,0.11111111111111122,0.09360718955319823,,None,None,None,None,0.011,0,0,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,True
59,ACAXU,0.03369672943508423,0.09360718955319823,,None,None,None,None,-0.181,0,0,None,0,0,0,-0.0096,0,0,0,0,0,0,-,-,-,-,-,-,None,False
60,ACAXW,0.145,0.09360718955319823,,None,None,None,None,0.011,0,0,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,True
61,ACB,-0.4493388429752066,0.09360718955319823,0.19915818500000004,222255000,-183598000,None,None,1.639,0,0,-5.87,0.776,0,-1.096,-0.0826,-1.373,211587000,21225000,-5.87,-0.917,0.018,-,-,1.603,0.874,1.53,-0.198,3.016,False
62,ACBA,0.03323836657170004,0.09360718955319823,0.15029,65807000,None,None,None,-2.803,0,0,-0.64,0,0,0,-0.0272,0,0,0,-0.64,0,0,-,-,-,1.438,-,-69.75,None,False
63,ACBAU,0.0028653295128939216,0.09360718955319823,,60843000,None,None,None,-2.803,0,0,-0.208,0,0,0,-0.0272,0,0,0,-0.208,0,0,-,-,-,-,-,-,None,False
64,ACBAW,0.3533333333333333,0.09360718955319823,,60540000,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,True
65,ACCD,0.6866585067319461,0.09360718955319823,0.06532739743589744,1023161000,-123888000,None,None,6.71,0,0,-6.7,5.12,-1.296,-0.473,-0.0971,-0.728,357873000,141002000,-6.7,0,0.09,-,-,1.721,1.317,1.871,-1.876,1.617,True
66,ACCO,0.006325682708953853,0.09360718955319823,0.1069666461538461,478725000,204900000,None,0.421,8.59,0.3,0.0564,-0.14,20.44,-0.0068,0.0716,0.0296,-0.0158,1947600000,552300000,-0.14,-0.653,-0.124,-,5.05,0.255,0.677,0.803,9.67,1.845,False
67,ACDC,-0.433233147273508,0.09360718955319823,0.268821,716053000,728500000,6.96,None,-21.93,0,0,1.88,54.75,0.0681,0.19,0.16,0.457,2425600000,986900000,1.88,0,2.201,6.96,31.55,0.63,-,0.888,3.252,None,False
68,ACDCW,-0.3626446082838819,0.09360718955319823,,None,554612000,None,None,-21.02,0,0,None,45.58,0.0731,0.182,0.167,0.491,1879571000,0,0,0,2.556,-,-,-,-,-,-,None,False
69,ACEL,0.07242990654205599,0.09360718955319823,0.10117639473684208,779988000,142470000,11.12,None,2.06,0,0,0.81,10.7,0.0764,0.1,0.082,0.44,969797000,298896000,0.81,1.055,0.446,11.12,16.05,0.772,3.854,1.102,6.65,1.561,False
70,ACER,-0.3041666666666667,0.09360718955319823,0.06557516216216215,20608600,-24548224,None,None,-0.854,0,0,-1.7,0.024,0,0,-0.643,-4.73,360000,1260000,-1.7,0,0,-,-,174.52,17.26,102.76,-1.561,0.648,False
71,ACET,-0.725922131147541,0.09360718955319823,0.09312923437500002,231825000,-69976000,None,0.82,6.81,0,0,-1.66,0.608,-2.793,-2.903,-0.135,-0.234,24990000,24990000,-1.66,0,-1,-,-,14.0,2.33,15.73,-8.91,2.022,False
72,ACGL,0.17946490618485056,0.09360718955319823,0.237919565,25495269000,1625146000,17.82,2.24,32.81,0,0,3.84,26.08,0.154,0.158,0.0204,0.112,9614808000,2847711000,3.84,0.429,0.328,17.82,11.34,2.519,2.025,2.802,-,0.739,True
73,ACGLN,0.13654978122248676,0.09360718955319823,,15297160000,1625146000,4.097,None,32.81,0,0.0596,4.691,26.08,0.154,0.158,0.0204,0.112,9614808000,2847711000,4.691,0.429,0.328,4.097,-,-,-,-,-,0.739,True
74,ACGLO,0.15980071909763896,0.09360718955319823,,13335247000,1625146000,4.875,None,32.81,0,0.0589,4.691,26.08,0.154,0.158,0.0204,0.112,9614808000,2847711000,4.691,0.429,0.328,4.875,-,1.401,-,-,-,0.739,True
75,ACGN,-0.628482972136223,0.09360718955319823,0.12461866666666667,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
76,ACHC,-0.1210894368789106,0.09360718955319823,0.16162998039215687,6541778000,564013000,23.64,1.32,31.28,0,0,3.03,29.11,0.105,0.171,0.0572,0.102,2610399000,1116765000,3.03,-0.138,0.138,23.64,26.04,3.053,2.826,3.64,16.32,1.315,False
77,ACHL,-0.3962264150943397,0.09360718955319823,0.1263637692307692,37887600,-67493000,None,None,4.814,0,0,-1.89,0,0,0,-0.166,-0.293,0,0,-1.89,0,0,-,-,-,0.263,-,1.59,None,False
78,ACHR,0.08835341365461837,0.09360718955319823,0.13520692241379303,694638000,-332200000,None,None,2.041,0,0,-1.32,0,0,0,-0.314,-0.532,0,0,-1.32,0,0,-,-,-,0.934,-,0.145,2.159,False
79,ACHV,2.3088235294117645,0.09360718955319823,0.04493072222222222,121030000,-40564000,None,0,0.464,0,0,-4.24,0,0,0,-0.658,-2.33,0,0,-4.24,0,0,-,-,-,44.23,-,-1.191,1.441,True
80,ACI,0.026483142275142223,0.09360718955319823,0.20842947999999997,11802671000,4369600000,8.39,1.433,1.529,0.48,0.023,2.47,149.18,0.0216,0.0341,0.0563,0.625,76768100000,21124600000,2.47,-0.729,0.085,8.39,7.02,0.147,2.539,0.289,4.323,0.349,False
81,ACIU,-0.17527675276752772,0.09360718955319823,0.10565706944444446,197073000,-69054000,None,0,2.183,0,0,-0.9,0.047,0,-18.0,-0.198,-0.353,3935000,-56401000,-0.9,0,0.098,-,-,44.1,0.908,9.37,-0.524,0.582,False
82,ACIW,0.309,0.09360718955319823,0.1520413333333333,2830372000,262463000,21.46,-3.24,11.04,0,0,1.22,12.51,0.1,0.143,0.04,0.117,1421901000,725830000,1.22,-0.136,-0.032,21.46,16.86,1.581,1.977,2.287,7.9,1.104,True
83,ACLS,0.8436202205355866,0.09360718955319823,0.1929661,4236422000,218768000,23.71,1.23,20.36,0,0,5.43,27.84,0.199,0.231,0.15,0.304,919998000,401790000,5.43,0.626,0.293,23.71,13.48,3.163,4.563,2.92,12.48,1.723,True
84,ACLX,0.30794090489381337,0.09360718955319823,0.09927615277777779,1421308000,-189938000,None,None,4.647,0,0,-4.99,0,0,0,-0.54,-1.191,0,0,-4.99,0,0,-,-,-,6.12,-,-7.34,None,True
85,ACM,0.09124510303130945,0.09360718955319823,0.16375934374999998,11384174000,889548000,32.26,1.396,18.39,0.63,0.0085,2.54,94.75,0.0254,0.0544,0.0395,0.146,13263821000,847974000,2.54,0.479,0.035,32.26,22.68,0.882,4.76,1.02,16.13,1.296,False
86,ACMR,0.3152941176470588,0.09360718955319823,0.026308257142857165,639031000,64401000,18.33,None,11.31,0,0,0.61,6.56,0.101,0.152,0.0323,0.0623,388832000,183615000,0.61,-0.22,0.141,18.33,13.5,1.585,0.809,0.474,2.273,0.983,True
87,ACN,0.07708664931008785,0.09360718955319823,0.23534833999999993,180643447000,10699595000,26.32,2.975,37.64,4.33,0.0157,10.86,100.0,0.11,0.153,0.131,0.309,63144419000,19701539000,10.86,-0.059,0.051,26.32,25.58,2.878,8.69,3.043,18.53,1.242,False
88,ACNB,-0.17430317884751192,0.09360718955319823,0.251232,253864000,None,7.18,0,28.78,1.06,0.0357,4.15,12.2,0.34,0.452,0.0135,0.138,105232000,105232000,4.15,1.308,0.282,7.18,-,3.245,1.367,-,-,0.368,False
89,ACNT,-0.15492957746478875,0.09360718955319823,0.2728836666666667,91551000,34298000,4.265,None,13.21,0,0,2.11,40.48,0.0533,0.0521,0.0504,0.179,414147000,60766000,2.11,-0.987,-0.147,4.265,-,0.244,0.789,0.496,4.298,0.711,False
90,ACON,-0.336734693877551,0.09360718955319823,0.0016836750000000001,5534900,-5904895,None,None,0.227,0,0,-1.21,0.01,0,-100.9,-1.496,0,60440,-4854,-1.21,0,0.88,-,-,91.82,1.907,151.14,-1.39,None,False
91,ACONW,-0.4674556213017752,0.09360718955319823,,None,-2763665,None,None,-14.17,0,0,-6.58,0.067,0,-48.98,-1.16,0,60290,0,-6.58,0,0.201,-,-,-,-,-,-,None,False
92,ACOR,-0.08768472906403942,0.09360718955319823,0.07532010752688173,12417100,-9076000,None,0.51,3.847,0,0,-3.22,6.02,-0.556,-0.352,-0.0614,-0.539,118566000,82430000,-3.22,5.87,-0.149,-,-,0.108,0.168,1.497,-14.7,1.441,False
93,ACP-P-A,0.07840130991472846,0.09360718955319823,,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
94,ACR,-0.010309278350515427,0.09360718955319823,0.11505138888888883,84072000,None,None,None,53.6,0,0.505,-0.99,7.13,0.169,0.123,0.0045,0.0234,62875000,29021000,-0.99,-0.928,-0.422,-,-,1.126,0.18,-,-,1.802,False
95,ACR-P-C,0.0013756964815722385,0.09360718955319823,,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
96,ACR-P-D,0.0647481990415819,0.09360718955319823,,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
97,ACRE,-0.16077051315793317,0.09360718955319823,0.1039754375,496370000,None,15.95,2.57,13.73,1.32,0.145,0.57,1.163,0.495,0.467,0.0116,0.0418,60110000,60110000,0.57,-0.853,-0.619,15.95,7.58,7.92,0.833,14.61,-,1.457,False
98,ACRO,0.02842639593908641,0.09360718955319823,,436856000,None,None,None,-0.352,0,0,-0.04,0,0,0,-0.005,0,0,0,-0.04,0,0,-,-,-,1.287,-,-436.06,None,False
99,ACRO-U,0.033502538071066,0.09360718955319823,,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
100,ACRO-WS,0.7069999999999999,0.09360718955319823,,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,True
101,ACRS,-0.46514497223935847,0.09360718955319823,0.07760824528301888,569558000,-84357000,None,-0.13,2.963,0,0,-1.38,0.456,-2.921,-2.862,-0.21,-0.44,29752000,-60021000,-1.38,0,4.165,-,-,43.63,4.905,35.36,-10.0,0.612,False
102,ACRV,,0.09360718955319823,0.1374373333333333,265460000,-32293000,None,None,7.78,0,0,-6.5,0,0,0,-0.142,-0.232,0,0,-6.5,0,0,-,-,-,-,-,-9.39,None,False
103,ACRX,-0.6629213483146068,0.09360718955319823,0.040306426666666645,4918900,-29945000,0.109,0,3.676,0,0,5.49,0.24,24.01,-17.89,-0.332,0,1771000,-5030000,5.49,0,125,0.109,1.06,11.8,0.69,10.28,0.309,0.273,False
104,ACST,-0.12524271844660195,0.09360718955319823,0.05007392105263158,20785100,-14907000,None,0,2.168,0,0,-0.35,0.005,0,0,-0.0825,-0.166,115000,120000,-0.35,0,0,-,-,208.39,0.157,5.5,1.037,1.54,False
105,ACT,-0.04989177401186693,0.09360718955319823,0.1680226865671642,3688230000,None,5.25,None,25.19,0.42,0.0244,4.33,6.72,0.643,0.871,0.103,0.172,1095046000,953382000,4.33,-0.066,0.015,5.25,7.49,3.524,0.962,3.811,-,None,False
106,ACTG,-0.043147208121827395,0.09360718955319823,-0.004050813953488354,219048000,-26578000,None,10.5,5.94,0,0,-3.2,1.395,-2.112,-0.677,-0.0391,-0.288,59223000,21835000,-3.2,-0.975,-0.793,-,-,1.433,0.63,0.0023,-1.211,0.426,False
107,ACVA,0.8843843843843845,0.09360718955319823,0.14482872413793096,2017940000,-99481000,None,None,3.065,0,0,-0.64,2.685,-0.242,-0.255,-0.0706,-0.196,421529000,48354000,-0.64,0,-0.022,-,1250,3.327,2.801,2.29,-10.64,1.387,True
108,ACXP,0.2568306010928962,0.09360718955319823,0.08659277777777778,40962900,None,None,None,0.629,0,0,-1.11,0,0,0,-0.668,-1.226,0,0,-1.11,0,0,-,-,-,4.393,-,-3.519,None,True
109,ADAG,0.4680668666952422,0.09360718955319823,0.09161438709677418,63645000,-82795648,None,None,1.933,0,0,-1.72,0.215,0,-9.03,-0.307,-0.667,9292700,10175300,-1.72,0,-0.391,-,-,4.499,0.433,0.0853,1.262,0.0692,True
110,ADAL,0.028543307086614088,0.09360718955319823,,315157000,None,130.5,None,-0.247,0,0,0.08,0,0,0,-0.0025,0,0,0,0.08,1.485,0,130.5,-,-,-,-,-,None,False
111,ADALU,0.03159921026653505,0.09360718955319823,,None,None,None,None,-0.247,0,0,None,0,0,0,-0.0025,0,0,0,0,1.485,0,-,-,-,-,-,-,None,False
112,ADALW,-0.6166666666666667,0.09360718955319823,,None,None,None,None,0.002,None,0,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
113,ADAP,-0.5095238095238095,0.09360718955319823,0.06836615492957744,173384000,-155592992,None,0.11,0.498,0,0,-0.99,0.168,0,-5.96,-0.253,-1.15,27148000,-100578000,-0.99,0,6.78,-,-,11.77,1.995,2.784,-0.283,2.206,False
114,ADBE,0.28868738916585795,0.09360718955319823,0.16664471999999997,179127108000,6721000000,38.52,1.481,30.95,0,0,10,38.62,0.263,0.339,0.145,0.339,17999000000,15441000000,10,0.019,0.092,38.52,22.22,8.89,10.99,9.13,22.68,1.272,True
115,ADC,0.0030255951625624356,0.09360718955319823,0.2279375845070423,6182278000,380195000,36.91,-28.74,49.49,2.805,0.0424,1.83,5.46,0.355,0.497,0.0224,0.038,429814000,377533000,1.83,0,0.275,36.91,25,15.64,1.443,20.01,22.25,0.476,False
116,ADC-P-A,0.1184753990883562,0.09360718955319823,,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,True
117,ADCT,-0.48628428927680795,0.09360718955319823,0.12349048611111114,165317000,-122309000,None,None,1.1,0,0,-2.07,2.686,-0.742,-0.588,-0.135,-1.223,209908000,35098000,-2.07,0,3.103,-,-,1.641,2.579,0.0382,-0.0402,1.22,False
