,symbol,stock_return_100,market_return_100,sentiment,market_cap,ebitda,pe_ratio,peg_ratio,book_value,dividend_per_share,dividend_yield,eps,revenue_per_share,profit_margin,operating_margin,return_on_assets,return_on_equity,revenue,gross_profit,diluted_eps,quarterly_earnings_growth,quarterly_revenue_growth,trailing_pe,forward_pe,price_to_sales_ratio,price_to_book_ratio,ev_to_revenue,ev_to_ebitda,beta,outperformed
7628,WSR,-0.0005640185286718076,0.09360718955319823,0.1936661186440678,451863000,78407000,12.41,0,8.47,0.467,0.0534,0.71,2.838,0.252,0.334,0.0265,0.087,139768000,96473000,0.71,6.89,0.042,12.41,-,3.471,1.187,8.05,14.77,1.237,False
7629,WST,0.5726424325720522,0.09360718955319823,0.13468243478260872,25813619000,884400000,44.91,4.06,36.23,0.73,0.0022,7.74,38.8,0.203,0.265,0.138,0.233,2886900000,1136200000,7.74,-0.293,-0.03,44.91,28.82,6.03,7.16,5.94,19.94,1.081,True
7630,WT,0.16030524506974975,0.09360718955319823,0.16118716853932588,884673000,60347000,18.89,None,2.135,0.12,0.0206,0.31,2.107,0.168,0.199,0.0363,0.121,301345000,131031000,0.31,12.79,-0.074,18.89,15.87,2.561,2.883,2.637,38.35,1.409,True
7631,WTBA,-0.17679503737582494,0.09360718955319823,0.1297638846153846,295700000,None,6.44,0,12.69,1,0.0546,2.76,6.28,0.444,0.578,0.013,0.197,104448000,104448000,2.76,-0.252,-0.149,6.44,-,3.613,1.98,-,-,0.857,False
7632,WTER,-0.605281690140845,0.09360718955319823,0.09240377777777777,23711000,-24535952,None,0,0.009,0,0,-0.25,0.565,-0.428,-0.353,-0.669,-6.81,72189000,15219000,-0.25,0,0.212,-,-,0.347,7.15,0.424,-0.845,1.829,False
7633,WTFC,-0.24510719230610215,0.09360718955319823,0.1583651265822785,4354083000,None,8.78,4.57,72.12,1.36,0.0222,8.02,31.71,0.272,0.391,0.0099,0.11,1877132000,1877132000,8.02,0.411,0.197,8.78,7.65,2.756,1.193,-,-,1.197,False
7634,WTFCM,-0.011083816903863071,0.09360718955319823,,3242388000,None,3.215,0,72.12,1.36,0.0694,7.11,31.71,0.272,0.391,0.0099,0.11,1877132000,1877132000,7.11,0.411,0.197,3.215,-,1.942,-,-,-,1.197,False
7635,WTFCP,-0.056410733941372346,0.09360718955319823,,None,None,3.179,None,72.12,1.36,0.0753,7.11,31.71,0.272,0.391,0.0099,0.11,1877132000,1877132000,7.11,0.411,0.197,3.179,-,-,-,-,-,1.197,False
7636,WTI,-0.22913719943422914,0.09360718955319823,0.279336,798212000,502175000,3.169,-0.18,0.052,0,0,1.72,6.43,0.251,0.4,0.175,0,920997000,661455000,1.72,-0.152,0.146,3.169,2.893,0.961,-,1.166,2.101,1.974,False
7637,WTM,0.01936491738521114,0.09360718955319823,0.16575170370370368,3509484000,-104800000,None,9.93,1478.76,1,0.0007,-38.41,409.7,0.685,-0.0942,-0.0095,-0.05,1157900000,370900000,-38.41,0.005,0.677,-,-,2.636,0.906,2.844,-,0.408,False
7638,WTMA,0.034895314057826664,0.09360718955319823,0.1760698,103921000,None,None,None,-0.593,0,0,-0.24,0,0,0,-0.0266,0,0,0,-0.24,0,0,-,-,-,-,-,-,None,False
7639,WTMAR,-0.12236710130391176,0.09360718955319823,,None,None,None,None,0.012,0,0,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
7640,WTMAU,0.007897334649555781,0.09360718955319823,,None,None,None,None,-0.593,0,0,-0.066,0,0,0,-0.0266,0,0,0,-0.066,0,0,-,-,-,-,-,-,None,False
7641,WTRG,-0.0019393656309730867,0.09360718955319823,0.15352286874999993,11921682000,990452000,25.25,3.665,20.39,1.11,0.0267,1.77,8.72,0.203,0.292,0.0275,0.0881,2288032000,1072388000,1.77,-0.005,0.317,25.25,25.64,5.88,2.393,9.14,19.72,0.781,False
7642,WTS,0.14283877771424675,0.09360718955319823,0.20240073170731707,5615291000,363500000,22.51,2.71,39.09,1.16,0.0071,7.48,59.09,0.127,0.164,0.107,0.203,1979500000,874300000,7.48,0.729,0.059,22.51,21.69,2.468,4.184,2.57,14.25,1.008,True
7643,WTTR,-0.16228445739469907,0.09360718955319823,0.21430625000000006,860687000,164027000,13.5,-3.89,7.0,0.1,0.0267,0.54,14.57,0.0348,0.0348,0.0278,0.0695,1387420000,274262000,0.54,-0.331,0.496,13.5,8.26,0.734,1.446,0.798,5.89,1.994,False
7644,WTW,0.055464665155615794,0.09360718955319823,0.15737802272727272,24963764000,2266000000,25.11,0.746,93.82,3.3,0.0144,9.33,79.16,0.114,0.195,0.0324,0.0909,8866000000,4073000000,9.33,-0.719,0.006,25.11,16.39,3.004,2.69,3.439,14.99,0.77,False
7645,WU,-0.10844967617916162,0.09360718955319823,0.10618319500000005,4091764000,1068700000,4.633,11.13,1.279,0.94,0.085,2.34,11.56,0.203,0.198,0.0639,2.185,4475500000,1849100000,2.34,0.532,-0.15,4.633,8.98,1.138,10.31,1.474,5.47,0.899,False
7646,WULF,0.18412933481426633,0.09360718955319823,0.017290611111111114,178568000,-35386000,None,None,0.74,0,0,-0.86,0.136,0,-2.797,-0.0902,-0.713,15033000,3950000,-0.86,0,0,-,-,15.83,-,-,-,None,True
7647,WVE,0.1294416243654823,0.09360718955319823,0.07688921794871793,436566000,-156146000,None,0,-0.519,0,0,-2.3,0.046,0,-44.59,-0.576,-102.58,3649000,-73644000,-2.3,0,-0.298,-,-,111.16,10.21,105.34,-3.031,-0.867,True
